Date_Time;Rotors;T8;T114;Speed;Azimuth;Elevation;AzimSigma;ElevSigma;E_dT;E_AzimSig
2019-05-15 00:00:00;OK;9.57;12.33;5.36;430;2.3;2.37;2.06;1;1
2019-05-15 00:10:00;OK;9.62;12.18;5.1;430;1.7;2.95;2.17;1;1
2019-05-15 00:20:00;OK;9.48;12.11;5.15;431;2.2;2.96;2.68;1;1
2019-05-15 00:30:00;OK;9.25;11.98;4.83;433;2.2;3.18;2.5;1;2
2019-05-15 00:40:00;OK;9.08;11.93;4.94;434;1.9;3.74;2.21;1;2
2019-05-15 00:50:00;OK;8.88;11.87;4.94;436;2;3.28;2.1;1;2
2019-05-15 01:00:00;OK;8.78;11.88;5.12;437;2;3.46;2.05;1;2
2019-05-15 01:10:00;OK;8.66;11.8;4.87;437;1.9;3.43;2.21;1;2
2019-05-15 01:20:00;OK;8.48;11.83;4.67;437;1.8;3.44;2.25;1;2
2019-05-15 01:30:00;OK;8.4;11.86;4.7;436;1.8;2.46;1.69;1;1
2019-05-15 01:40:00;OK;8.34;11.76;4.64;432;1.8;2.73;1.69;1;1
2019-05-15 01:50:00;OK;8.2;11.12;4.86;410;2;11.29;1.29;1;4
2019-05-15 02:00:00;OK;8.17;10.64;5.81;405;2.1;4.91;1.3;1;2
2019-05-15 02:10:00;OK;8.04;10.88;6.4;412;1.7;3.14;1.27;1;2
2019-05-15 02:20:00;OK;7.9;10.87;6;407;0.5;1.98;1.17;1;1
2019-05-15 02:30:00;OK;7.79;10.88;5.83;409;0.7;2.7;1.28;1;1
2019-05-15 02:40:00;OK;7.79;10.85;5.43;412;1.4;1.97;1.3;1;1
2019-05-15 02:50:00;OK;7.72;10.61;4.55;406;0.7;4.3;1.77;1;2
2019-05-15 03:00:00;OK;7.62;10.03;4.44;401;0.9;3.53;2.27;1;2
2019-05-15 03:10:00;OK;7.42;9.68;4.31;401;1.4;3.87;2.7;1;2
2019-05-15 03:20:00;OK;7.19;8.97;4.73;401;1.5;3.66;2.08;1;2
2019-05-15 03:30:00;OK;7.11;9;4.73;404;0.9;3.81;2.44;1;2
2019-05-15 03:40:00;OK;7.02;9.28;5.02;408;1.3;3.68;2.38;1;2
2019-05-15 03:50:00;OK;7.03;9.78;5.3;411;1.5;3.38;2.21;1;2
2019-05-15 04:00:00;OK;7.03;9.35;5.51;413;1.6;4.49;3.1;1;2
2019-05-15 04:10:00;OK;7.17;9.03;5.14;417;2.5;4.31;2.95;1;2
2019-05-15 04:20:00;OK;7.14;8.59;4.35;414;1.3;6.14;3.25;1;3
2019-05-15 04:30:00;OK;6.91;8.03;3.6;409;0;7.53;5.33;1;3
2019-05-15 04:40:00;OK;6.8;8.16;4.41;414;0.9;5.34;3.27;1;3
2019-05-15 04:50:00;OK;6.69;8.27;4.7;415;1.2;3.54;2.85;1;2
2019-05-15 05:00:00;OK;6.64;8.15;5.03;415;1;3.23;2.07;1;2
2019-05-15 05:10:00;OK;6.63;8.1;5.4;418;1.2;2.16;1.7;1;1
2019-05-15 05:20:00;OK;6.63;8.13;5.87;422;1.5;2.04;1.49;1;1
2019-05-15 05:30:00;OK;6.59;8.02;5.7;421;1.5;2.38;1.62;1;1
2019-05-15 05:40:00;OK;6.5;7.91;5.7;423;1.7;2.17;1.47;1;1
2019-05-15 05:50:00;OK;6.44;7.74;5.94;424;1.3;2.4;1.71;1;1
2019-05-15 06:00:00;OK;6.44;7.54;6;427;1.4;3.7;2.89;2;2
2019-05-15 06:10:00;OK;6.54;7.42;5.49;428;1.5;5.16;4.45;1;3
2019-05-15 06:20:00;OK;6.66;7.48;5.37;432;1.2;4.5;3.48;1;2
2019-05-15 06:30:00;OK;6.83;7.47;5.13;433;1.8;4.15;3.58;1;2
2019-05-15 06:40:00;OK;7.06;7.58;5.09;436;1.8;3.67;3.21;1;2
2019-05-15 06:50:00;OK;7.34;7.3;4.83;442;1.8;7.13;7.23;2;3
2019-05-15 07:00:00;OK;7.72;7.12;4.13;440;2;9.19;7.87;2;4
2019-05-15 07:10:00;OK;7.94;7.14;3.64;441;2;12.15;8.09;2;5
2019-05-15 07:20:00;OK;8.08;7.25;3.82;442;-0.5;9.01;9.3;2;4
2019-05-15 07:30:00;OK;8.33;7.36;3.16;447;1.2;12.6;10.5;2;5
2019-05-15 07:40:00;OK;8.75;7.58;3.04;449;0.9;11.57;12.96;4;4
2019-05-15 07:50:00;OK;9;7.85;2.48;445;8.2;13.31;13.97;4;5
2019-05-15 08:00:00;OK;9.26;8.12;2.76;453;3.1;12.6;13.6;4;5
2019-05-15 08:10:00;OK;9.84;8.34;2.54;454;3;14;14.68;5;5
2019-05-15 08:20:00;OK;10.14;8.54;2.74;448;-6;10.42;7.68;5;4
2019-05-15 08:30:00;OK;10.56;8.81;2.2;433;3.1;14.11;13.54;5;5
2019-05-15 08:40:00;OK;10.91;9;2.63;431;2.6;14.04;11.19;5;5
2019-05-15 08:50:00;OK;11.52;9.31;2.09;425;7.2;14.49;18.95;6;5
